ID,Discipline,Subdiscipline,Name,Formula,Role,Domain,Description,Derivation,Working Example,Negation/Failure,Source,Status,Assumptions
EQ-0001,Physics,Classical Mechanics,Newton's Second Law,F = ma,Conservation law,"Newton's Second Law states that the net force acting on an object equals the product of its mass and acceleration. It is the foundational equation of classical mechanics, connecting the cause of motion (force) to its kinematic effect (acceleration).","Newton's Second Law states that the net force acting on an object equals the product of its mass and acceleration. It is the foundational equation of classical mechanics, connecting the cause of motion (force) to its kinematic effect (acceleration). It applies to all macroscopic, non-relativistic systems and underpins virtually every engineering calculation involving motion.","Derivation from first principles: Newton postulated this as an axiom (Lex II) in the Principia. However, it can be derived from the conservation of momentum. Define momentum p = mv. For constant mass, dp/dt = m(dv/dt) = ma. Newton's Second Law then states F_net = dp/dt. For constant mass this reduces to F = ma. The law is consistent with Galilean relativity and can also be derived as the Euler–Lagrange equation for a free particle with Lagrangian L = ½mv² − V(x), yielding mä = −dV/dx = F.","A 5 kg box is pushed with a net force of 20 N. Applying F = ma: a = F/m = 20 N / 5 kg = 4 m/s². Starting from rest, after 3 seconds the velocity is v = at = 4 × 3 = 12 m/s and the displacement is s = ½at² = ½(4)(9) = 18 m. This matches experimental observation for a frictionless surface.","The equation breaks down when: (1) Velocity approaches the speed of light — a 1 kg object at v = 0.99c requires relativistic mechanics where F = γ³ma (the Lorentz factor γ ≈ 7.09 makes the effective inertia ~356 kg, not 1 kg). (2) At quantum scales — an electron in an atom does not follow a deterministic trajectory; the Schrödinger equation replaces F = ma. (3) For variable-mass systems (like a rocket), the naive F = ma gives wrong results; one must use the full F = dp/dt = m(dv/dt) + v(dm/dt).","Newton, Principia Mathematica (1687)",consensus,(1) Velocity approaches the speed of light — a 1 kg object at v = 0.
EQ-0002,Physics,Classical Mechanics,Newton's Law of Universal Gravitation,F = GMm/r²,Empirical / phenomenological relation,"Every particle in the universe attracts every other particle with a force proportional to the product of their masses and inversely proportional to the square of the distance between their centers. This law explains planetary orbits, tides, and the trajectories of spacecraft.","Every particle in the universe attracts every other particle with a force proportional to the product of their masses and inversely proportional to the square of the distance between their centers. This law explains planetary orbits, tides, and the trajectories of spacecraft. It remained the definitive theory of gravity for over two centuries until superseded by general relativity for strong gravitational fields.","Newton did not derive this law from more fundamental principles; he inferred it empirically. However, the inverse-square dependence can be derived by combining Kepler's Third Law (T² ∝ r³) with the formula for centripetal acceleration (a = v²/r = 4π²r/T²). Substituting Kepler's law: a = 4π²r/T² = 4π²r/(Cr³) = 4π²/(Cr²), showing a ∝ 1/r². By Newton's Second Law, F = ma ∝ m/r². By Newton's Third Law (symmetry in m and M), F ∝ Mm/r², giving F = GMm/r² where G is the proportionality constant measured by Cavendish (1798).","Calculate the gravitational force between the Earth (M = 5.97 × 10²⁴ kg) and a 70 kg person on its surface (r = 6.371 × 10⁶ m). F = (6.674 × 10⁻¹¹)(5.97 × 10²⁴)(70) / (6.371 × 10⁶)² = 686 N ≈ 687 N. This equals the person's weight mg = 70 × 9.81 = 687 N, confirming consistency.","The law fails for: (1) Strong gravitational fields — near a black hole or neutron star, general relativity predicts effects (gravitational lensing, frame dragging) that Newton's law cannot account for. Mercury's perihelion precesses by 43 arcseconds/century more than Newtonian gravity predicts; only Einstein's field equations explain this. (2) Very large distances — galaxy rotation curves show stars orbiting faster than predicted by visible mass and Newton's law, leading to the hypothesis of dark matter or modified gravity (MOND).","Newton, Principia Mathematica (1687)",consensus,"(1) Strong gravitational fields — near a black hole or neutron star, general relativity predicts effects (gravitational lensing, frame dragging) that Newton's law cannot account for."
EQ-0003,Physics,Classical Mechanics,Euler–Lagrange Equation,d/dt(∂L/∂q̇) − ∂L/∂q = 0,Optimization / variational principle,"The Euler–Lagrange equation provides the equations of motion for any mechanical system from a single scalar function, the Lagrangian L = T − V (kinetic minus potential energy). It is equivalent to Newton's laws but vastly more powerful for systems with constraints, generalized coordinates, and symmetries.","The Euler–Lagrange equation provides the equations of motion for any mechanical system from a single scalar function, the Lagrangian L = T − V (kinetic minus potential energy). It is equivalent to Newton's laws but vastly more powerful for systems with constraints, generalized coordinates, and symmetries. It is the foundation of analytical mechanics and extends to field theory, quantum mechanics, and general relativity.","Start with Hamilton's Principle: the actual path q(t) extremizes the action S = ∫ L(q, q̇, t) dt between fixed endpoints. Consider a variation q(t) → q(t) + εη(t) where η(t₁) = η(t₂) = 0. Then δS = ∫ [∂L/∂q · η + ∂L/∂q̇ · η̇] dt = 0. Integration by parts on the second term: ∫ (∂L/∂q̇)η̇ dt = [∂L/∂q̇ · η] (boundary terms vanish) − ∫ d/dt(∂L/∂q̇) · η dt. So δS = ∫ [∂L/∂q − d/dt(∂L/∂q̇)] η dt = 0. Since η is arbitrary, the integrand must vanish: d/dt(∂L/∂q̇) − ∂L/∂q = 0.","Simple pendulum of length l, mass m: Using angle θ as generalized coordinate, T = ½ml²θ̇², V = −mgl cosθ, so L = ½ml²θ̇² + mgl cosθ. Apply Euler–Lagrange: ∂L/∂θ̇ = ml²θ̇, d/dt(...) = ml²θ̈, ∂L/∂θ = −mgl sinθ. The equation gives ml²θ̈ + mgl sinθ = 0, or θ̈ + (g/l)sinθ = 0 — the standard pendulum equation. For l = 1 m, small angles: period T ≈ 2π√(l/g) = 2π√(1/9.81) ≈ 2.006 s.","The Euler–Lagrange formulation fails or requires modification when: (1) Non-conservative forces are present (e.g., friction) — the standard Lagrangian cannot capture dissipation; one must add Rayleigh dissipation functions. (2) For systems with non-holonomic constraints (e.g., a rolling wheel that can slip), the standard variational principle does not apply directly and requires d'Alembert's principle or Lagrange multipliers. (3) At quantum scales, the classical action principle is replaced by the path integral formulation where all paths contribute.","Euler (1744); Lagrange, Mécanique Analytique (1788)",consensus,or requires modification when: (1) Non-conservative forces are present (e.
EQ-0004,Physics,Classical Mechanics,Hamilton's Equations,"dq/dt = ∂H/∂p,  dp/dt = −∂H/∂q",Optimization / variational principle,"Hamilton's equations reformulate classical mechanics in phase space (position q, momentum p) using the Hamiltonian H (total energy for conservative systems). They reveal the symplectic structure of mechanics, provide the foundation for canonical transformations, and directly inspire quantum mechanical operator formalism.","Hamilton's equations reformulate classical mechanics in phase space (position q, momentum p) using the Hamiltonian H (total energy for conservative systems). They reveal the symplectic structure of mechanics, provide the foundation for canonical transformations, and directly inspire quantum mechanical operator formalism. The equations describe how a system evolves as a flow in phase space.","Begin with the Lagrangian L(q, q̇, t). Define the canonical momentum p = ∂L/∂q̇. Perform a Legendre transformation: H(q, p, t) = pq̇ − L. Take the total differential: dH = q̇ dp + p dq̇ − ∂L/∂q dq − ∂L/∂q̇ dq̇ − ∂L/∂t dt. Since p = ∂L/∂q̇, the dq̇ terms cancel: dH = q̇ dp − ∂L/∂q dq − ∂L/∂t dt. From the Euler–Lagrange equation, ∂L/∂q = dp/dt. Comparing with dH = (∂H/∂q)dq + (∂H/∂p)dp + (∂H/∂t)dt, we get dq/dt = ∂H/∂p and dp/dt = −∂H/∂q.","Harmonic oscillator: H = p²/(2m) + ½kx². Hamilton's equations: dx/dt = ∂H/∂p = p/m and dp/dt = −∂H/∂q = −kx. For m = 1 kg, k = 4 N/m, initial x₀ = 1 m, p₀ = 0: ω = √(k/m) = 2 rad/s. Solution: x(t) = cos(2t), p(t) = −2 sin(2t). At t = π/4: x = 0, p = −2 kg·m/s. Energy check: H = 4/2 + 0 = 2 J = 0 + ½(4)(1) = 2 J. Conserved.","Hamilton's equations fail when: (1) The Legendre transformation is singular — if the Hessian det(∂²L/∂q̇_i∂q̇_j) = 0, one cannot solve for q̇ in terms of p (as occurs in some gauge theories). This leads to constrained Hamiltonian systems requiring Dirac's formalism. (2) For open/dissipative systems, H is not conserved and the symplectic structure is broken — one needs Caldirola–Kanai Hamiltonians or other extensions.","Hamilton, Phil. Trans. R. Soc. (1834)",consensus,Non-relativistic regime; See negation section for detailed failure modes
EQ-0005,Physics,Classical Mechanics,Conservation of Energy,E = T + V = constant,Conservation law,"In any isolated system with conservative forces, the total mechanical energy (kinetic plus potential) remains constant over time. This is one of the most fundamental principles in physics, extending beyond mechanics to thermodynamics, electrodynamics, and quantum mechanics.","In any isolated system with conservative forces, the total mechanical energy (kinetic plus potential) remains constant over time. This is one of the most fundamental principles in physics, extending beyond mechanics to thermodynamics, electrodynamics, and quantum mechanics. By Noether's theorem, energy conservation is a consequence of time-translation symmetry.","From Newton's Second Law: F = ma = m(dv/dt). Multiply both sides by v: F·v = mv(dv/dt) = d/dt(½mv²) = dT/dt. For a conservative force F = −∇V, F·v = −(dV/dx)(dx/dt) = −dV/dt. Therefore dT/dt = −dV/dt, giving d(T + V)/dt = 0, so E = T + V = constant. Alternatively, via Noether's theorem: if the Lagrangian has no explicit time dependence (∂L/∂t = 0), the Hamiltonian H = T + V is a conserved quantity.","A 2 kg ball is dropped from height h = 10 m. At the top: T = 0, V = mgh = 2(9.81)(10) = 196.2 J, E = 196.2 J. At the bottom (h = 0): V = 0, so T = 196.2 J = ½mv², giving v = √(2×196.2/2) = √196.2 = 14.0 m/s. Verification: v = √(2gh) = √(2×9.81×10) = 14.0 m/s.","Energy conservation fails when: (1) Non-conservative forces act — a block sliding on a rough surface loses mechanical energy to friction (heat). If a 1 kg block slides 5 m on a surface with μ = 0.3, it loses μmgd = 0.3(1)(9.81)(5) = 14.7 J to thermal energy. Mechanical energy is not conserved, though total energy (including heat) is. (2) In general relativity, global energy conservation does not hold in curved spacetime — there is no time-translation symmetry in expanding cosmological spacetimes.","Helmholtz, Über die Erhaltung der Kraft (1847)",consensus,(1) Non-conservative forces act — a block sliding on a rough surface loses mechanical energy to friction (heat).
EQ-0006,Physics,Classical Mechanics,Hooke's Law,F = −kx,Constitutive relation,The restoring force exerted by an ideal spring is proportional to its displacement from equilibrium and directed opposite to that displacement. This linear force law is the simplest model of elasticity and governs small oscillations in virtually every physical system near a stable equilibrium.,The restoring force exerted by an ideal spring is proportional to its displacement from equilibrium and directed opposite to that displacement. This linear force law is the simplest model of elasticity and governs small oscillations in virtually every physical system near a stable equilibrium. It forms the basis of simple harmonic motion.,"Hooke's Law is empirical, but it can be derived as a first approximation by Taylor-expanding any potential energy function V(x) about a stable equilibrium at x = 0: V(x) = V(0) + V'(0)x + ½V''(0)x² + ... At equilibrium V'(0) = 0 and V(0) is a constant. So V(x) ≈ ½V''(0)x² = ½kx² where k = V''(0). The restoring force is F = −dV/dx = −kx. This shows Hooke's Law is universal for small displacements around any stable equilibrium.","A spring with k = 200 N/m is compressed by x = 0.15 m. The restoring force is F = −(200)(0.15) = −30 N (i.e., 30 N pushing back toward equilibrium). The potential energy stored is ½kx² = ½(200)(0.0225) = 2.25 J. If a 0.5 kg mass is attached, the oscillation frequency is f = (1/2π)√(k/m) = (1/2π)√(400) = 3.18 Hz.","Hooke's Law breaks down for: (1) Large deformations — stretching a real spring beyond its elastic limit causes permanent (plastic) deformation where F ≠ −kx. A steel spring stretched beyond ~1% strain enters the nonlinear/plastic regime. (2) Materials like rubber exhibit hyperelastic behavior (Mooney–Rivlin model) where stress–strain is highly nonlinear. (3) At the atomic scale, interatomic potentials (e.g., Lennard–Jones or Morse potential) are strongly anharmonic for large displacements.","Hooke, De Potentia Restitutiva (1678)",consensus,(1) Large deformations — stretching a real spring beyond its elastic limit causes permanent (plastic) deformation where F ≠ −kx.
EQ-0007,Physics,Classical Mechanics,Centripetal Acceleration,a = v²/r,Deterministic dynamical system,An object moving in a circular path at constant speed experiences an acceleration directed radially inward (toward the center) with magnitude v²/r. This is a purely kinematic result from the geometry of circular motion and does not depend on the nature of the force providing the centripetal acceleration.,An object moving in a circular path at constant speed experiences an acceleration directed radially inward (toward the center) with magnitude v²/r. This is a purely kinematic result from the geometry of circular motion and does not depend on the nature of the force providing the centripetal acceleration.,"Consider an object at position r(θ) = r(cosθ, sinθ) moving with constant angular velocity ω = dθ/dt. Velocity: v = dr/dt = rω(−sinθ, cosθ), with |v| = rω. Acceleration: a = dv/dt = −rω²(cosθ, sinθ) = −ω²r. This points radially inward with magnitude a = rω². Since v = rω, we get ω = v/r, so a = r(v/r)² = v²/r.","A car travels around a curve of radius r = 50 m at v = 20 m/s. The centripetal acceleration is a = (20)²/50 = 400/50 = 8.0 m/s². For a 1500 kg car, the required centripetal force is F = ma = 1500 × 8 = 12,000 N, provided by tire friction. The minimum coefficient of friction needed is μ = F/(mg) = 12000/(1500×9.81) = 0.815.","The formula fails when: (1) The speed is not constant — if the car is accelerating tangentially, there is an additional tangential acceleration component and the total acceleration is a = √(a_c² + a_t²), not simply v²/r. (2) The path is not circular — for an elliptical orbit, the radius of curvature varies and one must use the instantaneous radius of curvature, not the semi-major axis.","Newton, Principia Mathematica (1687)",consensus,"(1) The speed is not constant — if the car is accelerating tangentially, there is an additional tangential acceleration component and the total acceleration is a = √(a_c² + a_t²), not simply v²/r."
EQ-0008,Physics,Classical Mechanics,Work–Energy Theorem,W_net = ΔKE = ½mv²₂ − ½mv²₁,Deterministic dynamical system,The net work done on an object by all forces equals the change in its kinetic energy. This theorem is a direct consequence of Newton's Second Law and provides a scalar (energy-based) method for analyzing motion without needing to track vector forces and accelerations at every instant.,The net work done on an object by all forces equals the change in its kinetic energy. This theorem is a direct consequence of Newton's Second Law and provides a scalar (energy-based) method for analyzing motion without needing to track vector forces and accelerations at every instant.,From F = ma along a path from position 1 to 2: W = ∫ F·ds = ∫ ma·ds = ∫ m(dv/dt)·(v dt) = ∫ mv·dv = ½m|v₂|² − ½m|v₁|² = ΔKE. The key step uses ds = v dt and the identity v·dv = d(½v²).,"A 1000 kg car accelerates from 10 m/s to 30 m/s. The net work done is W = ½(1000)(30²) − ½(1000)(10²) = 450,000 − 50,000 = 400,000 J = 400 kJ. If a constant force does this over 200 m, then F = W/d = 400,000/200 = 2000 N.","Limitations: (1) For relativistic particles, the classical kinetic energy ½mv² must be replaced by (γ − 1)mc². A proton accelerated to 0.99c has KE = 5.7mc², not ½m(0.99c)² = 0.49mc² — the classical formula underestimates by a factor of ~11.6. (2) In thermodynamics, work on a gas (PdV work) changes internal energy, not just kinetic energy of bulk motion; the simple mechanical theorem doesn't capture microscopic degrees of freedom.","Coriolis, Du calcul de l'effet des machines (1829)",consensus,See negation section for detailed failure modes
EQ-0009,Physics,Classical Mechanics,Impulse–Momentum Theorem,J = FΔt = Δp = mv₂ − mv₁,Deterministic dynamical system,The impulse (force integrated over time) delivered to an object equals the change in its momentum. This is the time-integrated form of Newton's Second Law and is especially useful for collisions and impacts where forces are large but act over short durations.,The impulse (force integrated over time) delivered to an object equals the change in its momentum. This is the time-integrated form of Newton's Second Law and is especially useful for collisions and impacts where forces are large but act over short durations.,From Newton's Second Law: F = dp/dt. Integrate both sides from t₁ to t₂: ∫ F dt = ∫ dp = p(t₂) − p(t₁) = Δp. The left side is defined as the impulse J. For constant force: J = F(t₂ − t₁) = FΔt = Δp.,"A 0.145 kg baseball moving at 40 m/s is hit by a bat, reversing its velocity to −50 m/s. The impulse is J = m(v₂ − v₁) = 0.145(−50 − 40) = 0.145(−90) = −13.05 N·s. If bat contact lasts Δt = 0.001 s, the average force is F = J/Δt = 13,050 N ≈ 13 kN (about 2930 lbs).","The theorem in its simple form fails when: (1) Mass changes during the interaction (e.g., a bullet embedding in a block during a perfectly inelastic collision requires conservation of momentum for the system, not FΔt for one object). (2) In special relativity, p = γmv, so J = Δ(γmv) ≠ mΔv; the Lorentz factor must be included.","Newton, Principia Mathematica (1687)",consensus,(1) Mass changes during the interaction (e.
EQ-0010,Physics,Classical Mechanics,Angular Momentum,L = Iω,Conservation law,"The angular momentum of a rigid body rotating about a fixed axis equals its moment of inertia times its angular velocity. Angular momentum is conserved in the absence of external torques, explaining phenomena from figure skating spins to the stability of gyroscopes and the rotation of galaxies.","The angular momentum of a rigid body rotating about a fixed axis equals its moment of inertia times its angular velocity. Angular momentum is conserved in the absence of external torques, explaining phenomena from figure skating spins to the stability of gyroscopes and the rotation of galaxies.","For a rigid body, each mass element dm at distance r from the axis has velocity v = rω. Its angular momentum is dL = r × dm·v = r²ω dm. Integrating: L = ∫ r²ω dm = ω ∫ r² dm = Iω, where I = ∫ r² dm is the moment of inertia. Conservation follows from the rotational analog of Newton's Second Law: τ = dL/dt. If τ_net = 0, then L = Iω = constant.","An ice skater with I₁ = 4.0 kg·m² spins at ω₁ = 2 rev/s. She pulls in her arms, reducing I to I₂ = 1.5 kg·m². By conservation: I₁ω₁ = I₂ω₂, so ω₂ = (4.0)(2)/(1.5) = 5.33 rev/s — she spins 2.67 times faster.","L = Iω is insufficient when: (1) The body is not rigid — a deformable body (like a collapsing star) requires integration over changing mass distributions. (2) The rotation axis is not fixed or is not a principal axis — then L = Iω becomes the tensor equation L = I̲ω, where I̲ is the inertia tensor, and L and ω are generally not parallel (causing precession and nutation).","Euler, Theoria motus corporum solidorum (1765)",consensus,See negation section for detailed failure modes
